FID,objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,SHAPE_Length,SHAPE_Area
77,77,E07000037,High Peak, ,410474,387660,-1.84398,53.385689,540253999.811561,159632.998758136,267310.152752834,-1516047374.86132
78,78,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.16243,275623524.396742,161243.879502098,269294.472187074,-768137356.795121
79,79,E07000039,South Derbyshire, ,431443,325363,-1.5348,52.824902,338126970.261127,166693.264756749,275768.974419489,-925337041.485877
80,80,E07000040,East Devon, ,313790,96050,-3.22359,50.757599,814227311.153453,219544.921202048,346917.532356859,-2033806414.64903
81,81,E07000041,Exeter, ,293239,92005,-3.51368,50.717819,47033052.7920172,50238.5061138321,79304.6282260361,-117253976.289789
82,82,E07000042,Mid Devon, ,288064,108911,-3.59212,50.86882,912897719.729192,246408.793542275,390206.285526049,-2290789334.93223
83,83,E07000043,North Devon, ,265110,132532,-3.92691,51.07621,1085857679.30469,308999.636073384,491505.279365648,-2747041102.56264
84,84,E07000044,South Hams, ,270676,54036,-3.81996,50.371948,886510071.674953,478364.826113521,749434.130677375,-2177680286.69759
85,85,E07000045,Teignbridge, ,283144,80205,-3.65289,50.60981,673770656.969215,191464.02785333,301457.190168016,-1671406059.22323
86,86,E07000046,Torridge, ,244206,114334,-4.21728,50.907391,985293648.562921,315627.907057793,500188.167257848,-2472700107.53376
87,87,E07000047,West Devon, ,256376,86999,-4.03361,50.66489,1161107060.90436,254068.377875163,400451.782019692,-2885984615.07634
88,88,E07000061,Eastbourne, ,559339,99575,0.258516,50.773869,44161432.4837985,38032.2810407969,60108.0952706414,-110309219.89406
89,89,E07000062,Hastings, ,581528,110694,0.578395,50.867241,29796091.9965189,34102.1075516918,53977.4305951029,-74708621.7261622
90,90,E07000063,Lewes, ,541474,105686,0.007671,50.833408,292106798.641784,168359.913078725,266683.036857619,-733047246.141472
91,91,E07000064,Rother, ,578721,119666,0.542937,50.948711,511753820.136878,180531.96412764,286303.224580306,-1287706384.48848
92,92,E07000065,Wealden, ,555048,117180,0.205156,50.93322,834948417.645896,225878.103797439,358399.93194832,-2102763703.30522
93,93,E07000066,Basildon, ,571548,190848,0.475055,51.590359,110001023.654762,85631.2104981226,137687.551679132,-284558069.660657
94,94,E07000067,Braintree, ,577253,227335,0.575911,51.91634,611707973.504295,168686.435910178,273423.78989389,-1607073219.135
95,95,E07000068,Brentwood, ,558560,196070,0.290091,51.641079,153124048.304794,72339.499984653,116503.406634456,-396998247.628851
96,96,E07000069,Castle Point, ,579490,187920,0.588084,51.561588,44673525.2910839,163452.231415385,262508.722983016,-115333944.753872
97,97,E07000070,Chelmsford, ,572116,206972,0.491177,51.735031,342227520.457089,126395.550322867,203912.454422064,-890593943.514665
98,98,E07000071,Colchester, ,596944,223693,0.859777,51.877022,332325214.702393,318168.31141223,514393.621216205,-870376287.209292
99,99,E07000072,Epping Forest, ,548919,203758,0.154147,51.712791,338984123.904902,123273.197785461,198858.940210728,-881664153.142354
100,100,E07000073,Harlow, ,545276,209589,0.103888,51.76614,30537916.2891686,28515.4568027106,46045.3722599609,-79635149.3057173
101,101,E07000074,Maldon, ,591413,212072,0.773106,51.774578,357815660.310835,469757.895286049,757428.251896397,-930372389.505914
102,102,E07000075,Rochford, ,585979,191417,0.683442,51.5909,167274180.772269,232955.632621183,374613.147815519,-432740880.21428
103,103,E07000076,Tendring, ,614190,222141,1.108981,51.856739,336295380.413205,442501.365026272,715677.803635566,-880398023.080347
104,104,E07000077,Uttlesford, ,557832,228865,0.294485,51.935921,641182922.735805,166507.865260074,269790.564697467,-1684258189.38114
105,105,E07000078,Cheltenham, ,394925,222232,-2.07515,51.898609,46596069.2175817,38231.0639602385,61935.5534705507,-122269909.843474
106,106,E07000079,Cotswold, ,402125,208209,-1.97059,51.772549,1164524415.18048,332445.324069312,537536.928806784,-3044930620.1805
107,107,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.812489,525899257.744366,190005.278190076,307384.384899505,-1376275146.54645
108,108,E07000081,Gloucester, ,384071,216449,-2.23263,51.846409,40553089.2745815,33539.6843710329,54272.4156993757,-106187711.796345
109,109,E07000082,Stroud, ,378807,202410,-2.30818,51.720009,460541975.212882,172782.192867576,278771.258177325,-1199514794.24747
110,110,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.934849,414414321.091513,204835.933707662,332079.000293831,-1089777311.55014
111,111,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.259369,633817172.002661,143437.384228921,229154.440874759,-1618204342.35109
112,112,E07000085,East Hampshire, ,474404,129237,-0.93971,51.057652,514432074.863372,144540.791479261,229908.548802383,-1302133906.5585
113,113,E07000086,Eastleigh, ,447202,116802,-1.32943,50.948719,79678662.3917769,75889.8885924987,120365.276960003,-200518924.913611
114,114,E07000087,Fareham, ,453774,106319,-1.23742,50.853882,74260060.1001555,66504.8594452589,105320.797257034,-186205617.176106
115,115,E07000088,Gosport, ,458769,101088,-1.16731,50.806358,25373863.8126405,40199.0473902881,63582.8079014071,-63492580.9802887
116,116,E07000089,Hart, ,477985,154240,-0.88321,51.281971,215265080.340955,77847.8295539134,124407.042356409,-549826387.51431
117,117,E07000090,Havant, ,470178,108564,-1.00398,50.872311,55739600.04884,115626.170205836,182996.909642811,-139726234.166672
118,118,E07000091,New Forest, ,428748,106521,-1.59293,50.857479,752175262.2681,332044.023252496,525728.27913886,-1886661510.82757
119,119,E07000092,Rushmoor, ,486022,153944,-0.76807,51.278149,39045039.7610893,31893.0015033142,50968.780753026,-99676715.3396709
120,120,E07000093,Test Valley, ,434930,137329,-1.50214,51.134171,627595190.718412,190816.352551872,303906.252476088,-1592413493.53026
121,121,E07000094,Winchester, ,453115,125901,-1.24393,51.030022,660970090.904627,172158.21221359,273594.504732574,-1669820075.59316
122,122,E07000095,Broxbourne, ,534742,204251,-0.05073,51.720798,51442303.5951214,39068.7457937809,63047.9860206307,-133905657.431601
123,123,E07000096,Dacorum, ,500084,208745,-0.55098,51.768452,212476397.682696,110103.830872486,177905.15391542,-554474704.984342
124,124,E07000098,Hertsmere, ,519774,199352,-0.26899,51.680168,101128162.742547,61228.1638486148,98691.1054549642,-262709937.82889
125,125,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.957378,375382315.818067,168316.826377481,272987.762778783,-987337548.798593
126,126,E07000102,Three Rivers, ,507313,196418,-0.45005,51.656319,88824172.1167545,74112.6323982632,119428.175984933,-230600264.352695
127,127,E07000103,Watford, ,510441,198197,-0.40429,51.6717,21430351.404046,26392.3637917606,42530.7369270842,-55652588.7533093
128,128,E07000105,Ashford, ,597640,140644,0.823374,51.130959,580617312.655574,149446.491111594,237921.451649113,-1471635492.26947
129,129,E07000106,Canterbury, ,616032,158096,1.096342,51.281021,308752567.217782,134481.878863405,214788.158895464,-787672362.845372
130,130,E07000107,Dartford, ,556167,172917,0.245276,51.433731,72725577.0930408,57309.406127191,91860.5090580529,-186844085.788982
131,131,E07000108,Dover, ,628964,150942,1.276887,51.211761,315337967.025532,148160.889608634,236368.940673166,-801946445.185793
132,132,E07000109,Gravesham, ,566969,169114,0.398744,51.396488,98991345.0269165,60516.7991560959,96950.8853865675,-253997321.282425
133,133,E07000110,Maidstone, ,580489,151670,0.584061,51.235661,393329520.923426,122980.730512023,196241.581120653,-1001815078.22255
134,134,E07000111,Sevenoaks, ,552776,155218,0.188936,51.275631,370346872.085099,134435.51492254,214785.094192305,-945158287.021711
135,135,E07000112,Folkestone and Hythe, ,610318,134595,1.000795,51.072128,356921037.577987,148969.584540584,236836.445051725,-901824252.300595
136,136,E07000113,Swale, ,593583,161818,0.776893,51.32251,373436671.264401,347838.123543347,556612.09016227,-955161358.15348
137,137,E07000114,Thanet, ,631839,166752,1.328226,51.35252,103609165.852632,65350.7692378689,104499.442174389,-265110183.851095
138,138,E07000115,Tonbridge and Malling, ,564014,153898,0.349306,51.260639,240114268.776842,133211.401830685,212818.246774916,-612675930.081194
139,139,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.102539,331328854.676823,150590.455017137,239695.577095226,-839593429.915863
140,140,E07000117,Burnley, ,384886,430882,-2.2308,53.774059,110684000.240326,57764.5705752205,97700.9645866255,-316586722.906358
141,141,E07000118,Chorley, ,359189,419724,-2.61921,53.672401,202762137.791734,114515.919059752,193138.964104405,-576724904.100299
142,142,E07000119,Fylde, ,339554,433811,-2.91914,53.797089,165696809.268369,138118.575679015,233519.679033262,-474101874.504259
143,143,E07000120,Hyndburn, ,374407,428971,-2.38964,53.756481,72997474.3941516,42655.4911054276,72115.5534670295,-208586958.612377
144,144,E07000121,Lancaster, ,356896,464988,-2.6603,54.07901,566935933.498083,345349.753588709,587795.082893875,-1644134286.55053
145,145,E07000122,Pendle, ,387637,443368,-2.18957,53.88636,169380092.197239,79243.8077162715,134291.213814007,-486470528.784246
146,146,E07000123,Preston, ,352825,436432,-2.71809,53.822021,142284180.475832,82804.9719060596,140123.223134003,-407588192.949206
147,147,E07000124,Ribble Valley, ,372687,447676,-2.4174,53.9245,584471489.092845,150499.986105057,255273.321114412,-1681955833.69383
148,148,E07000125,Rossendale, ,382827,420955,-2.26149,53.68478,138040909.285535,71149.8048128627,120071.251571924,-393242438.540727
149,149,E07000126,South Ribble, ,352017,425840,-2.72871,53.726749,113141865.944215,105352.200645424,177941.003150816,-322824539.448859
150,150,E07000127,West Lancashire, ,342611,413270,-2.86893,53.612831,346632973.13886,227324.791265293,383310.505084291,-983010377.665568
151,151,E07000128,Wyre, ,347295,445159,-2.80359,53.89991,282164815.237443,212730.866956277,360771.783450834,-811537573.407809
152,152,E07000129,Blaby, ,454385,297994,-1.19887,52.577061,130468676.864843,100819.966891312,165816.731535449,-352824633.671505
153,153,E07000130,Charnwood, ,458365,316155,-1.13694,52.739899,279042271.327479,115474.390922691,190589.77678214,-760318810.092854
154,154,E07000131,Harborough, ,474549,293875,-0.90229,52.537659,592692049.699269,185950.911968042,305580.308265826,-1600441740.74387
155,155,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41755,52.608768,297351486.79679,111546.30248677,183617.139954915,-805798201.923238
156,156,E07000133,Melton, ,477328,323472,-0.8544,52.803291,481380515.19138,140629.640964362,232458.759948365,-1315133535.87923
157,157,E07000134,North West Leicestershire, ,439111,316252,-1.42209,52.7425,279328072.743158,116453.203897833,192305.20982112,-761689333.545304
158,158,E07000135,Oadby and Wigston, ,461543,299379,-1.093,52.588749,23526096.6872213,31172.0311908227,51279.3924307945,-63665616.1245188
159,159,E07000136,Boston, ,526851,343953,-0.11218,52.97794,364889918.615239,156197.447302868,259138.746571752,-1004721490.73255
160,160,E07000137,East Lindsey, ,534861,376064,0.020516,53.264462,1766773253.82541,373207.484381759,623801.808420516,-4927734882.85628
161,161,E07000138,Lincoln, ,496347,370096,-0.55848,53.219212,35690272.5729239,32969.8765973572,55021.8106666615,-99441334.8400367
162,162,E07000139,North Kesteven, ,502135,354788,-0.4767,53.080582,922471388.545779,181807.859532356,302497.723851223,-2553086371.2943
163,163,E07000140,South Holland, ,532909,322928,-0.03058,52.787579,750908591.673553,198138.771631407,327543.63391773,-2050186599.68769
164,164,E07000141,South Kesteven, ,501406,328986,-0.49565,52.84885,942585797.657034,209816.52026069,347163.990837877,-2581746487.6907
165,165,E07000142,West Lindsey, ,499314,390326,-0.50774,53.40044,1155731959.77556,249630.856354369,418408.371751452,-3245384403.29805
166,166,E07000143,Breckland, ,591015,303330,0.818716,52.594212,1305116639.16986,239527.753628762,393950.262760619,-3529239338.35428
167,167,E07000144,Broadland, ,619864,315909,1.252317,52.69622,552060636.330038,219128.240393653,361098.37302237,-1500063228.11989
168,168,E07000145,Great Yarmouth, ,646761,315881,1.64951,52.684391,174330776.387391,145970.743262411,240166.378767194,-472287795.231427
169,169,E07000146,King's Lynn and West Norfolk, ,571219,315805,0.533243,52.71283,1439480389.44158,694956.727048783,1149307.21191003,-3916631555.86978
170,170,E07000147,North Norfolk, ,611076,330857,1.132099,52.833889,967553236.501048,600214.349706254,993968.019084885,-2647004430.45138
171,171,E07000148,Norwich, ,622355,309773,1.284979,52.640129,39021966.3116079,52686.6307096448,86717.637263194,-105706515.203094
172,172,E07000149,South Norfolk, ,628990,295823,1.373233,52.51218,907576579.766066,266872.668363175,438178.013720967,-2445273589.74685
173,173,E07000150,Corby, ,487862,290681,-0.7069,52.506969,80280903.1353251,66291.6315252856,108825.248956224,-216372611.679449
174,174,E07000151,Daventry, ,467286,268437,-1.01447,52.30994,665600468.851015,181982.944966596,297469.699239107,-1779301339.3927
175,175,E07000152,East Northamptonshire, ,501344,287839,-0.5092,52.479092,509787257.638369,163229.12004697,267774.907875096,-1371316735.53224
176,176,E07000153,Kettering, ,483866,282852,-0.76773,52.437229,233489923.713025,100689.50113166,165072.063821572,-627240134.488128
177,177,E07000154,Northampton, ,476495,260539,-0.88121,52.237751,80771938.7916583,46341.524426597,75636.0632112708,-215190970.851961
178,178,E07000155,South Northamptonshire, ,463000,247077,-1.08129,52.118439,634023185.055838,225304.98890192,366805.285221513,-1680270212.41199
179,179,E07000156,Wellingborough, ,487787,266827,-0.71425,52.29258,163036490.492432,69758.4194633621,114010.424217631,-435239259.00593
180,180,E07000163,Craven, ,389513,461989,-2.16168,54.053761,1178807442.49167,199883.769775129,340362.105212218,-3420491089.5947
181,181,E07000164,Hambleton, ,443009,490546,-1.34049,54.30872,1311228139.76122,298519.898029617,511065.065368752,-3842702083.21647
182,182,E07000165,Harrogate, ,427473,464652,-1.58161,54.07708,1309127592.7605,246964.624319687,420405.373800034,-3796233388.55721
